va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[30000.0],Homo sapiens,556857,169,O=C(O)c1ccc(-c2noc(C3CCN(C(=O)NC4CC4c4ccccc4)CC3)n2)cc1,,CHEMBL559531
[30000.0],Homo sapiens,62789,169,CN=C(N)NC(=O)Nc1c(C)cccc1C,LIDAMIDINE,CHEMBL448416
[30000.0],Homo sapiens,1624827,169,Nc1nc2c(s1)CC[C@H]2C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,,CHEMBL3128194
[20.0],Oryctolagus cuniculus,626650,17056,CCCCC1=C(C(=O)OCC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C(C)N1,,CHEMBL1094989
[100000.0],Homo sapiens,1589811,169,c1ccc([C@]2(CCNCc3cccs3)CCOC3(CCCC3)C2)nc1,,CHEMBL2443278
[685.0],Oryctolagus cuniculus,627516,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC23CC4CC(C)(CC(C)(C4)C2)C3)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1097473
[120.0],Rattus norvegicus,225959,10514,COc1ccc(CN(C)CCCN2C(=O)CSC2c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc1OC,,CHEMBL138800
[1290.0],Cavia porcellus,1377303,106600,COc1ccc(OCCCN(C)CCOc2ccc3c(c2)OCO3)c([C@@H]2Sc3ccccc3N(C)C2=O)c1,LEVOSEMOTIADIL,CHEMBL2105033
[3900.0],Mus musculus,675342,10513,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,TENIVASTATIN,CHEMBL1201391
[3800.0],Oryctolagus cuniculus,1560329,17056,O=C1CC(=O)N(C2CC3CCC2C3)C(=O)N1CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,,CHEMBL2380925
[29100.0],Oryctolagus cuniculus,1560286,17056,CC(=O)OCC1(N2C(=O)CC(=O)N(CCc3cccc(Cl)c3)C2=O)CCCC1,,CHEMBL2380883
[13.0],Oryctolagus cuniculus,627320,17056,COC(=O)C1=C(C)NC(C)=C(C(=O)OCc2ccc3c(c2)OCO3)C1c1cccc([N+](=O)[O-])c1,,CHEMBL1098802
[230.0],Rattus norvegicus,225721,10514,CN(c1nc2ccccc2s1)C1CCN(CCCN2C(=O)CSC2c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)CC1,,CHEMBL137094
