va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[2270.0],Homo sapiens,1333080,11480,Cc1cc(Nc2nccc(N)n2)ccc1Oc1ccc(Cl)cc1,,CHEMBL2012025
[17060.0],Homo sapiens,1519508,11480,N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(Cl)cc1-c1cn[nH]c1,,CHEMBL2325330
[100000.0],Homo sapiens,1151968,11480,CN1Cc2ccccc2[C@H](c2ccc(F)cc2F)N=C1CCc1ccc(NS(C)(=O)=O)cc1.Cl,,CHEMBL1788304
[30000.0],Homo sapiens,2020896,11480,COc1cc(F)cc(-c2ccc(-c3nccc4cc(S(=O)(=O)Nc5ccncn5)ccc34)c(OC)c2)c1,,CHEMBL3687721
[8550.0],Homo sapiens,2037761,11480,Cn1nccc1-c1cc(C(F)(F)F)ccc1-c1c[nH]c2nc(S(=O)(=O)Nc3ncns3)ccc12,,CHEMBL3704417
[5900.0],Homo sapiens,2301505,11480,Fc1ccc(CCCCNCCCN2CCCCC2)cc1,,CHEMBL4229014
[10300.0],Homo sapiens,1781068,11480,CN(C)Cc1ccc2c(c1)CCN(C(=O)c1cc3cc(Cl)ccc3n1C)C2,,CHEMBL3314349
[1070.0],Homo sapiens,1987019,11480,CC1(C)[C@H]2CC[C@H](COc3cc(F)c(C(=O)NS(C)(=O)=O)cc3Cl)[C@@H]1C2,,CHEMBL3654182
[21000.0],Homo sapiens,2119551,11480,COc1cc(C(F)(F)F)ccc1-c1cccc2cc(S(=O)(=O)Nc3cscn3)ccc12,,CHEMBL3910180
[30000.0],Homo sapiens,2068915,11480,O=C(Cn1cnccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,,CHEMBL3764950
[30000.0],Homo sapiens,1603339,11480,Cl.Cl.Nc1nc2c(s1)CC(CNC(=O)[C@@H]1CCCN1)CC2,,CHEMBL3085877
