va,organism,molregno,tid,canonical_smiles,pref_name,chembl_id
[28000.0],Homo sapiens,2077837,165,CC(C)(C)NC(=O)C1c2c(O)cccc2C(=O)N1Cc1ccccc1-c1ccccc1,,CHEMBL3787356
[30000.0],Homo sapiens,473932,165,COCCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1,,CHEMBL479441
[2100.0],Homo sapiens,457929,165,Cc1nnc(C(C)C)n1C1CCN(C(C)C[C@H](NC(=O)C2CCC(F)(F)CC2)c2ccccc2)CC1.Cl,,CHEMBL489324
[3300.0],Homo sapiens,1958065,165,NCC(O)COc1ccc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,,CHEMBL3605021
[100000000.0],Homo sapiens,439968,165,Cc1ccc(C(=O)O)c(C(=O)N2CCC(CN3CCC(Oc4ccc(CO)c(Cl)c4)CC3)CC2)c1,,CHEMBL429763
[30000.0],Homo sapiens,1518523,165,Cc1nocc1C(=O)Nc1ccc(-c2ccccc2OC(F)(F)F)c(N)n1,,CHEMBL2324355
[6550.0],Homo sapiens,2464860,165,CC(C)n1c(=O)n(C)c2cnc3cc(F)c(-c4ccc(OCCCN5CCCCC5)nc4)cc3c21,AZD-1390,CHEMBL4594429
[22000.0],Homo sapiens,2508809,165,CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(C)ncnc4C4CC4)nc3n([C@@H](C)C3CC3)c2=O)cn1,,CHEMBL4761472
[75000.0],Homo sapiens,622379,165,CC(C)C(N1CCOCC1)C(O)(c1cccnc1)c1cccnc1,,CHEMBL1091879
[25000.0],Homo sapiens,2260473,165,CO/N=C1\CC[C@@]2(C)[C@@H](C1)C[C@@H](N1CCC[C@@H](N)C1)[C@@H]2Oc1ccc(C#N)cc1,,CHEMBL4128782
[8000.0],Homo sapiens,1840716,165,C[C@H](COc1ccc(C2=NNC(=O)C3CC23)cc1)CN1CCC[C@H]1C,,CHEMBL3417505
[10000.0],Homo sapiens,1173129,165,O=C(C1CC(Oc2cccc(F)c2)CN1)N1CCCN(C2CCC2)CC1,,CHEMBL1823042
[600.0],Homo sapiens,2489724,165,C[C@H]1C=C(C2=Nc3cc(Cl)ccc3Nc3ccc(C#N)cc32)CCN1C,,CHEMBL4742056
[16500.0],Homo sapiens,2528217,165,CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,,CHEMBL4791626
[50118.7],Homo sapiens,2471693,165,CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2ccccc2)c1=O,GSK620,CHEMBL4635134
[16660.0],Homo sapiens,2329231,165,Fc1ccc(N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)c(-c2ccccc2)c1,,CHEMBL4289783
[33000.0],Homo sapiens,1520660,165,Nc1nc2cc3c(cc2s1)CCN(Cc1ncon1)CC3,,CHEMBL2326471
[10300.0],Homo sapiens,1335287,165,COc1cc(-c2cn(CC(=O)N3CCC(c4nc5ccccc5o4)CC3)nn2)ccc1-n1cnc(C)c1,,CHEMBL2017562
[10000.0],Homo sapiens,2273303,165,COc1nc2ccc(C(=O)O)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,,CHEMBL4170272
[40000.0],Homo sapiens,2571320,165,COc1c(OCc2ccc(F)cc2)cc2oc3cc4c(c(OC/C=C/C(=O)O)c3c(=O)c2c1CC=C(C)C)C=CC(C)(C)O4,,CHEMBL4877549
[18000.0],Homo sapiens,2421605,165,CCC(CC)CNc1c(C(N)=O)cnc2ccc(-c3ccc(COC)cc3)cc12,,CHEMBL4551177
[6200.0],Homo sapiens,2076794,165,O=C(c1nnc(-c2ccc(F)cc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1,,CHEMBL3787131
[27000.0],Homo sapiens,1443870,165,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN([C@H]2CC[C@@](O)(c3cccs3)CC2)C1,,CHEMBL2204258
[158.0],Homo sapiens,2072901,165,FC(F)(F)c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@@H](C4CCOCC4)N3)n2)cc1,,CHEMBL3775793
[80000.0],Homo sapiens,222887,165,COc1ccnc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)C[C@H]3C)c12,,CHEMBL337301
[63095.7],Homo sapiens,1337871,165,O=C(Nc1ccc(-c2nnc(NCCCN3CCC(F)(F)CC3)o2)cc1)c1ccccc1F,,CHEMBL2022502
[32000.0],Homo sapiens,2383303,165,CC(C)c1ccc(-c2cc(CN3CCOCC3)nn2C2CCC2)cc1,,CHEMBL4476297
[23000.0],Homo sapiens,554892,165,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],NISOLDIPINE,CHEMBL1726
[30000.0],Homo sapiens,1783593,165,CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OC)c(C(C)C)cn2)C2CC2)C1.Cl,,CHEMBL3318943
[12400.0],Homo sapiens,1440844,165,CC1=NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N,,CHEMBL2180033
[25000.0],Homo sapiens,2360804,165,Nc1nc2c(C(=O)NCc3ccc(Cl)c(Cl)c3)cc(O)c(O)c2s1,,CHEMBL4453795
[30000.0],Homo sapiens,2508244,165,Cc1cc2[nH]c(-c3cc(F)cc(F)c3)nc2c(N2CCC(CN3CCN(C)CC3)CC2)n1,,CHEMBL4760907
[5600.0],Homo sapiens,1335319,165,Cc1nc(N2CCC(O)(C3CC3)CC2)nc2ccc(NC(=O)/C=C/c3ccc(Cl)cc3)cc12,,CHEMBL2017593
[30000.0],Homo sapiens,2526283,165,COCCOc1cc(NC(=O)N2CCCc3cc(CN4C(=O)CN(C)CC4(C)C)c(C=O)nc32)ncc1C#N,,CHEMBL4789692
[7300.0],Homo sapiens,1841446,165,Cc1cccc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1,,CHEMBL3422007
[30000.0],Homo sapiens,188196,165,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,ATAZANAVIR,CHEMBL1163
[25000.0],Homo sapiens,1788803,165,CC(C(=O)O)c1ccc(CN2CCC(COC(=O)c3c4n(c5ccccc35)CCCO4)CC2)cc1,,CHEMBL3329813
[2600.0],Homo sapiens,2176077,165,Cc1nc(-c2nc3ccccc3[nH]2)c(N2CCN(C(=O)Cn3cnc4cccnc43)[C@H](C)C2)s1,,CHEMBL3966706
[30000.0],Homo sapiens,2227645,165,Cc1ccc(-n2nccn2)c(C(=O)N2C[C@@]3(F)CN(c4nc5cc(Cl)ccc5o4)C[C@@]3(F)C2)c1,,CHEMBL4087734
[2511.89],Homo sapiens,1179111,165,Cc1cccc(Nc2nc(NCC3CCCCN3)ncc2C(N)=O)c1,,CHEMBL1835060
[1.5],Homo sapiens,707053,165,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccncc2)c1,,CHEMBL1258047
[4100.0],Homo sapiens,2228630,165,CC(C)Oc1ccc(NC(=O)c2cc(N(C)Cc3ccc(F)cc3)ncn2)cc1,,CHEMBL4088719
[1300.0],Homo sapiens,1961508,165,COc1cc(CC(C)N2CCN(CCc3ccc4c(c3C)COC4=O)CC2)ccc1C#N,,CHEMBL3612802
[16800.0],Homo sapiens,1618171,165,COC(=O)C(CCC(=O)N1CCN(c2ccccc2OC)CC1)(c1ccc(Br)cc1)C(C)C,,CHEMBL3115195
[4740.0],Homo sapiens,2386599,165,CCN(CC)c1ccc(CNC(=O)[C@@H]2CNC[C@H]2c2ccc(C(F)(F)F)cc2)cc1,,CHEMBL4515188
[5610.0],Homo sapiens,2741321,165,N#Cc1ccc(COc2ccc3nc(C(=O)N4CCNCC4)ccc3c2)cc1,,CHEMBL5170090
[13000.0],Homo sapiens,2324496,165,N[C@H]1C[C@@H]1c1ccc(Br)cc1,,CHEMBL4285048
[11000.0],Homo sapiens,449985,165,O[C@H]1C[C@H](CN2CCC(c3ccccc3)CC2)CCc2cccnc21,,CHEMBL487827
[720.0],Homo sapiens,1171027,165,COc1cc(-c2cn(Cc3cccc(OC(F)(F)F)c3)nn2)ccc1-n1cnc(C)c1,,CHEMBL1818825
[30000.0],Homo sapiens,1573734,165,CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(CCO)CC1,,CHEMBL2409312
[320.0],Homo sapiens,615596,165,CCC(CC)NCCCc1cc(-c2cccc(C(F)(F)F)c2)nc(C#N)n1,,CHEMBL1084401
[30000.0],Homo sapiens,2414419,165,CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CF)O[C@@H]2S1,,CHEMBL4543991
[33000.0],Homo sapiens,1624319,165,O=C(N1CCCN(C2CCC2)CC1)N1CCC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1,,CHEMBL3127691
[800.0],Homo sapiens,1335133,165,COc1cc(-c2cn(CC(=O)N(c3ccccc3)C3CCCCC3)nn2)ccc1-n1cnc(C)c1,,CHEMBL2017409
[2200.0],Homo sapiens,343232,165,CC(C)(CN)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1ccccc1,,CHEMBL203045
[501.19],Homo sapiens,610141,165,Cc1ccc2c(-c3nnc(SCCCN4C[C@@H]5C[C@]5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,,CHEMBL1081685
[2110.0],Homo sapiens,452267,165,CNCc1ccc(Cl)cc1Oc1cccc(Cl)c1,,CHEMBL449048
[14790.0],Homo sapiens,1832251,165,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cc(Cl)cc(Cl)c1,,CHEMBL3402044
[2000.0],Homo sapiens,424427,165,CC1(N2CCC(N(c3ccccc3)c3cccnc3)CC2)CCN(C(=O)c2c(Cl)cncc2Cl)CC1,,CHEMBL255644
[3100.0],Homo sapiens,2423778,165,COc1cnc(OC)c([C@H](c2cc3cc(C#N)ccc3nc2OC)[C@@](O)(CCN(C)C)c2cc(OC)nc(OC)c2)c1,,CHEMBL4553350
